Order ID,Order Date,SKU,Product Name,Sale Amount,Expected Settlement Amount,Order Status
2345891101,03/07/2026,WMN-KRT-YLW-XL,Womens Rayon Kurti - Yellow XL,549,454.61,Delivered
2345891102,05/07/2026,FTW-SLPR-BLU-9,Mens Casual Slippers Blue Size 9,349,264.53,Delivered
2345891103,07/07/2026,ACC-WTCH-BLK,Analog Wrist Watch - Black Dial,399,311.52,Delivered
2345891104,09/07/2026,WMN-KRT-YLW-XL,Womens Rayon Kurti - Yellow XL,549,460.13,Delivered
2345891105,11/07/2026,KRT-WT-MENS-L,"Cotton Kurta Set - White, Men L",749,646.42,Delivered
2345891106,13/07/2026,KDS-GRL-FRK-5Y,"Kids Girls Party Frock, Age 5Y",429,335.01,Delivered
2345891107,15/07/2026,HOM-BDSHT-DBL,Double Bedsheet with 2 Pillow Covers,649,546.04,Delivered
2345891108,17/07/2026,KDS-GRL-FRK-5Y,"Kids Girls Party Frock, Age 5Y",429,346.13,Delivered
2345891109,19/07/2026,KRT-WT-MENS-L,"Cotton Kurta Set - White, Men L",749,636.32,Delivered
2345891110,21/07/2026,ACC-WTCH-BLK,Analog Wrist Watch - Black Dial,399,309.26,Delivered
2345891111,23/07/2026,MEN-TRS-DNM-32,Mens Denim Jeans Slim Fit 32,899,786.14,Delivered
2345891112,25/07/2026,ACC-WTCH-BLK,Analog Wrist Watch - Black Dial,399,226.86,Returned
2345891113,27/07/2026,KRT-WT-MENS-L,"Cotton Kurta Set - White, Men L",749,638.32,Delivered
2345891114,29/07/2026,FTW-SLPR-BLU-9,Mens Casual Slippers Blue Size 9,349,262.93,Delivered
2345891114,29/07/2026,FTW-SLPR-BLU-9,Mens Casual Slippers Blue Size 9,349,262.93,Delivered
2345891115,02/07/2026,KRT-WT-MENS-L,"Cotton Kurta Set - White, Men L",749,644.75,Delivered
2345891116,03/07/2026,HOM-BDSHT-DBL,Double Bedsheet with 2 Pillow Covers,649,555.27,Delivered
2345891117,05/07/2026,KDS-GRL-FRK-5Y,"Kids Girls Party Frock, Age 5Y",429,342.4,Delivered
2345891118,07/07/2026,ACC-WTCH-BLK,Analog Wrist Watch - Black Dial,399,317.79,Delivered
2345891119,09/07/2026,WMN-KRT-YLW-XL,Womens Rayon Kurti - Yellow XL,549,462.37,Delivered
2345891120,11/07/2026,WMN-KRT-YLW-XL,Womens Rayon Kurti - Yellow XL,549,454.08,Delivered
2345891121,13/07/2026,HOM-BDSHT-DBL,Double Bedsheet with 2 Pillow Covers,649,545.58,Delivered
2345891122,15/07/2026,ACC-WTCH-BLK,Analog Wrist Watch - Black Dial,399,309.67,Delivered
2345891123,17/07/2026,SAR-BNJ-RED,Banarasi Silk Saree - Red,1199,1058.92,Delivered
2345891124,19/07/2026,MEN-TRS-DNM-32,Mens Denim Jeans Slim Fit 32,899,776.59,Delivered
2345891125,21/07/2026,SAR-BNJ-RED,Banarasi Silk Saree - Red,1199,1058.76,Delivered
2345891126,23/07/2026,KDS-GRL-FRK-5Y,"Kids Girls Party Frock, Age 5Y",429,349.71,Delivered
2345891127,25/07/2026,MEN-TRS-DNM-32,Mens Denim Jeans Slim Fit 32,899,789.97,Delivered
2345891128,27/07/2026,SAR-BNJ-RED,Banarasi Silk Saree - Red,1199,1057.4,Delivered
2345891129,29/07/2026,SAR-BNJ-RED,Banarasi Silk Saree - Red,1199,976.46,Returned
2345891130,02/07/2026,KDS-GRL-FRK-5Y,"Kids Girls Party Frock, Age 5Y",429,340.76,Delivered
2345891131,03/07/2026,HOM-BDSHT-DBL,Double Bedsheet with 2 Pillow Covers,649,547.34,Delivered
2345891132,05/07/2026,ACC-WTCH-BLK,Analog Wrist Watch - Black Dial,399,312.74,Delivered
2345891133,07/07/2026,WMN-KRT-YLW-XL,Womens Rayon Kurti - Yellow XL,549,461.08,Delivered
2345891134,09/07/2026,KDS-GRL-FRK-5Y,"Kids Girls Party Frock, Age 5Y",429,348.77,Delivered
2345891135,11/07/2026,FTW-SLPR-BLU-9,Mens Casual Slippers Blue Size 9,349,260.37,Delivered
2345891136,13/07/2026,SAR-BNJ-RED,Banarasi Silk Saree - Red,1199,1059.25,Delivered
2345891137,15/07/2026,SAR-BNJ-RED,Banarasi Silk Saree - Red,1199,1065.13,Delivered
